packet_index,timestamp,label
0,1781099994.239562,normal
1,1781099994.241175,normal
2,1781099994.242523,normal
3,1781099994.244989,http_flood
4,1781099994.247198,normal
5,1781099994.248709,http_flood
6,1781099994.250403,normal
7,1781099994.251967,normal
8,1781099994.253786,normal
9,1781099994.255267,normal
10,1781099994.256561,normal
11,1781099994.258184,normal
12,1781099994.260103,normal
13,1781099994.262255,normal
14,1781099994.264023,normal
15,1781099994.265606,normal
16,1781099994.267938,normal
17,1781099994.270224,normal
18,1781099994.271547,normal
19,1781099994.273029,normal
20,1781099994.274283,normal
21,1781099994.276875,normal
22,1781099994.278319,normal
23,1781099994.279860,normal
24,1781099994.281125,normal
25,1781099994.282661,normal
26,1781099994.284431,normal
27,1781099994.286625,normal
28,1781099994.288532,normal
29,1781099994.290116,normal
30,1781099994.292537,normal
31,1781099994.294211,normal
32,1781099994.296046,http_flood
33,1781099994.297766,normal
34,1781099994.299436,normal
35,1781099994.302500,normal
36,1781099994.303962,udp_reflection
37,1781099994.305810,normal
38,1781099994.307858,normal
39,1781099994.309429,normal
40,1781099994.311339,normal
41,1781099994.313401,http_flood
42,1781099994.315084,normal
43,1781099994.317734,normal
44,1781099994.319164,normal
45,1781099994.321095,normal
46,1781099994.322580,normal
47,1781099994.324031,normal
48,1781099994.325876,normal
49,1781099994.327355,normal
50,1781099994.328723,normal
51,1781099994.330535,normal
52,1781099994.332479,normal
53,1781099994.334647,normal
54,1781099994.336431,normal
55,1781099994.338069,normal
56,1781099994.340023,normal
57,1781099994.341008,normal
58,1781099994.343519,normal
59,1781099994.345207,normal
60,1781099994.346774,normal
61,1781099994.348969,normal
62,1781099994.351556,normal
63,1781099994.352997,normal
64,1781099994.354774,normal
65,1781099994.356689,normal
66,1781099994.358328,normal
67,1781099994.359848,normal
68,1781099994.361285,normal
69,1781099994.363005,normal
70,1781099994.365450,normal
71,1781099994.366998,normal
72,1781099994.368609,normal
73,1781099994.370260,normal
74,1781099994.371713,normal
75,1781099994.373203,normal
76,1781099994.375297,normal
77,1781099994.377057,normal
78,1781099994.378921,normal
79,1781099994.380637,normal
80,1781099994.382793,normal
81,1781099994.384243,normal
82,1781099994.386514,normal
83,1781099994.387965,http_flood
84,1781099994.389771,normal
85,1781099994.391773,normal
86,1781099994.394103,normal
87,1781099994.396082,normal
88,1781099994.397447,normal
89,1781099994.399646,normal
90,1781099994.400863,normal
91,1781099994.402616,normal
92,1781099994.404435,normal
93,1781099994.406652,normal
94,1781099994.407994,http_flood
95,1781099994.409816,normal
96,1781099994.412405,normal
97,1781099994.413898,syn_flood
98,1781099994.415856,http_flood
99,1781099994.417931,normal
100,1781099994.419101,normal
101,1781099994.420575,normal
102,1781099994.423221,syn_flood
103,1781099994.425357,http_flood
104,1781099994.427540,normal
105,1781099994.429294,normal
106,1781099994.431038,normal
107,1781099994.432309,normal
108,1781099994.434505,normal
109,1781099994.436205,normal
110,1781099994.438119,normal
111,1781099994.439490,normal
112,1781099994.440801,normal
113,1781099994.442693,normal
114,1781099994.444536,normal
115,1781099994.446044,normal
116,1781099994.447582,normal
117,1781099994.449748,normal
118,1781099994.451241,normal
119,1781099994.452668,normal
120,1781099994.454745,normal
121,1781099994.456284,normal
122,1781099994.457319,normal
123,1781099994.459369,normal
124,1781099994.460782,normal
125,1781099994.462301,normal
126,1781099994.464217,normal
127,1781099994.465880,normal
128,1781099994.467487,normal
129,1781099994.469148,normal
130,1781099994.470688,syn_flood
131,1781099994.472196,normal
132,1781099994.474342,normal
133,1781099994.475955,normal
134,1781099994.477835,normal
135,1781099994.479517,normal
136,1781099994.481729,normal
137,1781099994.483109,normal
138,1781099994.484692,normal
139,1781099994.486875,normal
140,1781099994.488399,normal
141,1781099994.490211,normal
142,1781099994.491661,normal
143,1781099994.493246,normal
144,1781099994.495277,normal
145,1781099994.496423,http_flood
146,1781099994.498156,normal
147,1781099994.499742,normal
148,1781099994.501740,normal
149,1781099994.502977,normal
150,1781099994.504801,normal
151,1781099994.506626,normal
152,1781099994.509047,normal
153,1781099994.511541,normal
154,1781099994.513048,normal
155,1781099994.515155,normal
156,1781099994.517248,normal
157,1781099994.519136,normal
158,1781099994.520594,normal
159,1781099994.522674,normal
160,1781099994.524883,syn_flood
161,1781099994.526492,http_flood
162,1781099994.527664,normal
163,1781099994.529706,normal
164,1781099994.532369,normal
165,1781099994.535232,normal
166,1781099994.537330,normal
167,1781099994.539289,normal
168,1781099994.541080,normal
169,1781099994.543086,normal
170,1781099994.544935,normal
171,1781099994.547210,normal
172,1781099994.548207,normal
173,1781099994.549363,normal
174,1781099994.550817,normal
175,1781099994.552647,normal
176,1781099994.554460,normal
177,1781099994.556425,normal
178,1781099994.558868,normal
179,1781099994.560931,normal
180,1781099994.562571,normal
181,1781099994.564010,syn_flood
182,1781099994.565976,normal
183,1781099994.567192,normal
184,1781099994.568965,normal
185,1781099994.570698,normal
186,1781099994.572119,normal
187,1781099994.573811,normal
188,1781099994.575274,normal
189,1781099994.576840,normal
190,1781099994.579464,normal
191,1781099994.581025,normal
192,1781099994.582593,normal
193,1781099994.584405,normal
194,1781099994.585938,normal
195,1781099994.587380,normal
196,1781099994.590592,normal
197,1781099994.592121,normal
198,1781099994.593606,normal
199,1781099994.595078,normal
200,1781099994.596765,normal
201,1781099994.598358,normal
202,1781099994.601170,normal
203,1781099994.602588,normal
204,1781099994.603839,http_flood
205,1781099994.605549,normal
206,1781099994.607350,normal
207,1781099994.608798,udp_reflection
208,1781099994.610514,normal
209,1781099994.611820,normal
210,1781099994.614094,normal
211,1781099994.615801,normal
212,1781099994.617472,normal
213,1781099994.618956,normal
214,1781099994.621012,normal
215,1781099994.623151,http_flood
216,1781099994.624656,normal
217,1781099994.626713,normal
218,1781099994.628406,normal
219,1781099994.630289,normal
220,1781099994.632242,http_flood
221,1781099994.633840,normal
222,1781099994.635467,normal
223,1781099994.637988,syn_flood
224,1781099994.639342,syn_flood
225,1781099994.641339,normal
226,1781099994.643119,normal
227,1781099994.644583,normal
228,1781099994.647052,normal
229,1781099994.648619,normal
230,1781099994.650388,normal
231,1781099994.652162,normal
232,1781099994.653135,normal
233,1781099994.655237,normal
234,1781099994.657093,normal
235,1781099994.658699,normal
236,1781099994.660198,normal
237,1781099994.662064,normal
238,1781099994.663590,normal
239,1781099994.665844,syn_flood
240,1781099994.667839,normal
241,1781099994.669506,normal
242,1781099994.670955,normal
243,1781099994.672260,normal
244,1781099994.674338,normal
245,1781099994.676715,normal
246,1781099994.678334,normal
247,1781099994.679804,normal
248,1781099994.681733,normal
249,1781099994.683283,normal
250,1781099994.684999,normal
251,1781099994.686658,normal
252,1781099994.688843,http_flood
253,1781099994.690745,normal
254,1781099994.693466,normal
255,1781099994.695043,normal
256,1781099994.696298,normal
257,1781099994.698157,normal
258,1781099994.699653,normal
259,1781099994.701305,normal
260,1781099994.702545,normal
261,1781099994.703704,normal
262,1781099994.705837,normal
263,1781099994.707804,normal
